Name	cvss	description	detection_method	detection_result	http_info	identification	impact	insight	log_method	plugin	port	product_detection_result	protocol	references	severity	solution	source
Do not print on AppSocket and socketAPI printers	[0.0, None, None, None, None, None, None]	"[""""The host seems to be an AppSocket or socketAPI printer. Scanning it will waste paper. So ports 9100-9107 & 9112-9116 won't be scanned by default.""""]"	[]	"['Exclusion reason:', 'Found pattern: / on URL: http://192.168.1.254var ModelName=""""([^""""]+)""""']"	[]	[]	[]	[]	['Details: Do not print on AppSocket and socketAPI printers', 'OID:1.3.6.1.4.1.25623.1.0.12241', 'Version used: $Revision: 13541 $']	[]		[]		[]	LOG	[]	OPENVAS
Do not scan printers	[0.0, None, None, None, None, None, None]	['The host seems to be a printer. The scan has been disabled against this host.']	[]	"['Exclusion reason:', 'Found pattern: / on URL: http://192.168.1.254var ModelName=""""([^""""]+)""""']"	[]	[]	[]	['Many printers react very badly to a network scan. Some of them will crash, while others will print a number of pages. This usually disrupt oce work and is usually a nuisance. As a result, the scan has been disabled against this host.']	['Details: Do not scan printers', 'OID:1.3.6.1.4.1.25623.1.0.11933', 'Version used: $Revision: 10929 $']	[]		[]		[]	LOG	"[""""If you want to scan the remote host, uncheck the 'Exclude printers from scan' option within the 'Global variable settings' of the scan cong in use and re-scan it.""""]"	OPENVAS
